time,uname,comment,star,title,support,sentiment_score
"
                    2013-11-13 18:57:02
                ",叶上海,楼南光演傻逼倒很有一手,2,较差,0,0.8198070440210491
"
                    2013-10-15 23:17:48
                ",发条.西.,现在回头看林正英居然有种温情感。,3,还行,0,0.8852405417972945
"
                    2011-12-20 17:07:25
                ",夜泠月,林正英的僵尸系列太经典了,4,推荐,0,0.8504622667418537
"
                    2012-05-03 22:53:17
                ",taming,儿时的恐怖记忆。。西洋僵尸好恐怖，九叔的片子真是百看不厌啊，怀念儿时的看碟岁月~现在物是人非了。。,4,推荐,0,0.9999884536762924
"
                    2019-04-23 11:09:09
                ",二当家李多余,以前的港片集知识、搞笑、刺激、恐怖、快节奏和世情于一体，再过30年看也依旧被牢牢吸引住，难怪红透半边天。,5,力荐,0,0.9982236553865612
"
                    2012-05-22 20:33:24
                ",春夏秋,林正英的记忆。,5,力荐,0,0.8776689809051653
"
                    2022-04-02 01:08:02
                ",莱尼圆,林正英一直在探索僵尸片的出路，这部让崂山道士大战西洋僵尸，融入了吸血鬼、十字架、蝙蝠等西方恐怖片元素，创作上不拘一格，堪称“土洋结合”的范本。可惜无效支线铺得过多，剧情上较松散。林正英安排自己跟老修女亲嘴，真是没安好心。结尾略显仓促，双蛤蟆出来say拜拜。,3,还行,0,0.9999999597898269
"
                    2020-03-22 11:20:01
                ",冰镇西瓜橘子水,小僵尸太可爱辽,4,推荐,0,0.5247521560417415
"
                    2012-09-18 19:04:22
                ",Chris,好小的时候看的了　,3,还行,0,0.7117215317217015
"
                    2013-11-03 15:03:23
                ",愁容骑士7,两个小蛤蟆挺好玩的。。。。,3,还行,0,0.7793914672837045
"
                    2020-04-27 22:36:45
                ",max,对套路的重复，前半段插科打诨，后半段僵尸斗法，喜剧桥段无聊幼稚，运镜剪辑不如从前干净利落，特效的瑕疵也更明显了，那几只蝙蝠简直不能看，茅山道术对西洋僵尸的正戏开始后，娱乐性剧增，比欧美绝大多数吸血鬼片强很多,2,较差,0,0.9692084649460233
"
                    2008-09-06 22:31:34
                ",请叫我小蓝帽,有生以来看过的第一部恐怖片！看的时候很逞能，但过后的很多个晚上不敢一个人睡觉……,4,推荐,0,0.0212287286507169
"
                    2012-08-10 20:27:53
                ",很想说爱你,僵尸片~~~,3,还行,0,0.3933627749531281
"
                    2017-08-29 20:47:45
                ",宇宙塑胶魔怪,剧情太弱了,3,还行,0,0.7553062958704764
"
                    2011-02-14 10:24:22
                ",颠僧TC,茅山道术对阵西洋僵尸，中西合璧，也算是传统香港鬼片的创举了。,5,力荐,0,0.9990087789495481
"
                    2016-12-26 18:36:08
                ",合纥,中西尸体大对决。。。。,3,还行,0,0.6469923576739722
"
                    2018-12-24 15:20:53
                ",犹豫的猫~Q,不解释满星,5,力荐,1,0.13785893251395087
"
                    2022-02-28 21:36:00
                ",居无间,很过瘾！林正英依然在做僵尸片的创新，东方女鬼与西方吸血鬼双线并行，虽然最终的拼接有一些勉强，但降妖除鬼的仪式和充满喜剧色彩的动作场面花样频出，足够妙趣横生。,4,推荐,0,0.9999998846942617
"
                    2014-02-16 04:21:17
                ",芥末好呛,结局。。。,4,推荐,0,0.9748039867370587
