电影名,评分,地区,地址,发布日期,评论人数
武状元苏乞儿,8.2,中国香港,https://movie.douban.com/subject/1297863/,1992-12-17,403219
功夫熊猫,8.2,美国,https://movie.douban.com/subject/1783457/,2008-06-20,591241
杰出公民,8.4,阿根廷,https://movie.douban.com/subject/26844922/,2016-09-04,101214
马路天使,8.6,中国大陆,https://movie.douban.com/subject/1307708/,1937,30603
真实的谎言,8.3,美国,https://movie.douban.com/subject/1292553/,1995-04-20,161218
艺术家,8.4,法国,https://movie.douban.com/subject/6097775/,2012-12-28,95695
孝子贤孙伺候着,8.7,中国大陆,https://movie.douban.com/subject/1462243/,1993,24241
斗牛,8.2,中国大陆,https://movie.douban.com/subject/4009651/,2009-09-11,218732
弗兰西丝·哈,8.5,美国,https://movie.douban.com/subject/11527487/,2012-09-01,67516
当哈利遇到莎莉,8.3,美国,https://movie.douban.com/subject/1291842/,1989-07-21,149818
独自等待,8.2,中国大陆,https://movie.douban.com/subject/1308741/,2005-09-08,209441
巴黎，我爱你,8.3,法国,https://movie.douban.com/subject/1783772/,2006-05-18,146380
101忠狗,8.5,美国,https://movie.douban.com/subject/1298204/,1961-01-25,66272
超人总动员,8.2,美国,https://movie.douban.com/subject/1291577/,2005-01-28,311985
猛龙过江,8.4,中国香港,https://movie.douban.com/subject/1306870/,1972-12-30,48751
A计划,8.2,中国香港,https://movie.douban.com/subject/1297909/,1983-12-22,151701
买凶拍人,8.2,中国香港,https://movie.douban.com/subject/1300616/,2001-08-16,149391
辛普森一家,8.4,美国,https://movie.douban.com/subject/1851906/,2007-07-27,83516
内布拉斯加,8.6,美国,https://movie.douban.com/subject/6538833/,2013-05-23,48919
冰川时代2,8.2,美国,https://movie.douban.com/subject/1437342/,2006-06-09,247213
犬之岛,8.2,德国,https://movie.douban.com/subject/26640371/,2018-04-20,238156
花与爱丽丝,8.2,日本,https://movie.douban.com/subject/1308820/,2004-03-13,226531
猫的报恩,8.2,日本,https://movie.douban.com/subject/1304970/,2002-07-19,223161
警察故事,8.2,中国香港,https://movie.douban.com/subject/1400868/,1985-12-14,122698
热带鱼,8.7,中国台湾,https://movie.douban.com/subject/1302181/,1995-08-01,21946
那些年，我们一起追的女孩,8.1,中国台湾,https://movie.douban.com/subject/4920528/,2012-01-06,902489
我在雨中等你,8.4,美国,https://movie.douban.com/subject/3882427/,2019-08-09,76746
年会不能停！,8.1,中国大陆,https://movie.douban.com/subject/35725869/,2023-12-29,853609
濑户内海,8.3,日本,https://movie.douban.com/subject/26362351/,2016-06-12,111643
爱情神话,8.1,中国大陆,https://movie.douban.com/subject/35376457/,2021-12-24,753404
椿三十郎,8.8,日本,https://movie.douban.com/subject/1293310/,1962-01-01,33633
摄影机不要停！,8.2,日本,https://movie.douban.com/subject/30234315/,2017-11-04,198563
热血警探,8.2,英国,https://movie.douban.com/subject/1806555/,2007-02-14,195513
贝利叶一家,8.4,法国,https://movie.douban.com/subject/25855951/,2014-12-17,73706
